================================================================================
ENCRYPTED FIRMWARE DEEP ANALYSIS
Learning secrets from encrypted code WITHOUT decryption
================================================================================

================================================================================
SECTION 1: FIRMWARE STRUCTURE MAP
================================================================================

Even though the code is encrypted, the FIRMWARE STRUCTURE reveals
what ME does. Different modules have different encryption patterns
because they encrypt at different times with different IVs.

Offset   Size     Entropy  0x00%   0xFF%   Type                 Region
------------------------------------------------------------------------------------------
0x000000    1024    0.493    5.2%   93.0%  EMPTY/ERASED          FDR
0x000400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          FDR
0x000800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          FDR
0x000C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          FDR
0x001000    1024    1.064   12.6%   82.4%  CODE/DATA             FDR
0x001400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          FDR
0x001800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          FDR
0x001C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          FDR
0x002800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          FDR
0x002C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          FDR
0x004000    1024    7.793    1.3%    0.5%  ENCRYPTED(v2)         FDR
0x008000    1024    7.682    0.5%    0.4%  ENCRYPTED(v2)         FDR
0x00C000    1024    7.755    0.5%    0.1%  ENCRYPTED(v2)         FDR
0x010000    1024    7.772    0.6%    0.3%  ENCRYPTED(v2)         FDR
0x014000    1024    7.763    1.8%    0.5%  ENCRYPTED(v2)         FDR
0x018000    1024    7.690    0.2%    0.4%  ENCRYPTED(v2)         FDR
0x019400    1024    3.833    6.2%   56.8%  CODE/DATA             FDR
0x019800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          FDR
0x019C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          FDR
0x01A000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          FDR
0x01A400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          FDR
0x01A800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          FDR
0x01AC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          FDR
0x01B000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          FDR
0x01B400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          FDR
0x01B800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          FDR
0x01BC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          FDR
0x01C000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          FDR
0x01C400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          FDR
0x01C800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          FDR
0x01CC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          FDR
0x01D000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          FDR
0x01D400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          FDR
0x01D800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          FDR
0x01DC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          FDR
0x01E000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          FDR
0x01E400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          FDR
0x01E800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          FDR
0x01EC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          FDR
0x01F000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          FDR
0x01F400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          FDR
0x01F800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          FDR
0x01FC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          FDR
0x020000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x020400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x020800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x020C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x021000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x021400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x021800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x021C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x022800    1024    2.429    3.3%    0.8%  CODE/DATA             ROMB/PMCP
0x024000    1024    6.546    5.5%    2.8%  COMPRESSED            ROMB/PMCP
0x028000    1024    6.830    6.5%    2.0%  COMPRESSED            ROMB/PMCP
0x02C000    1024    6.647   10.3%    1.3%  COMPRESSED            ROMB/PMCP
0x030000    1024    6.572    7.2%    1.2%  COMPRESSED            ROMB/PMCP
0x034000    1024    6.724    7.5%    1.9%  COMPRESSED            ROMB/PMCP
0x038000    1024    6.658    9.5%    3.3%  COMPRESSED            ROMB/PMCP
0x03AC00    1024    1.090   88.6%    0.6%  CODE/DATA             ROMB/PMCP
0x03B000    1024    3.561   52.8%    9.5%  CODE/DATA             ROMB/PMCP
0x03B800    1024    3.539   46.5%    2.7%  CODE/DATA             ROMB/PMCP
0x03BC00    1024    3.981   53.1%    1.3%  CODE/DATA             ROMB/PMCP
0x03C000    1024    6.079   21.1%    6.2%  COMPRESSED            ROMB/PMCP
0x040000    1024    5.956   21.0%    0.0%  MIXED                 ROMB/PMCP
0x044000    1024    5.542   28.8%    0.1%  MIXED                 ROMB/PMCP
0x047000    1024    3.587   53.6%    2.2%  CODE/DATA             ROMB/PMCP
0x047C00    1024    2.109   69.4%    5.1%  CODE/DATA             ROMB/PMCP
0x048000    1024    2.084   70.3%    0.0%  CODE/DATA             ROMB/PMCP
0x048400    1024    2.308   59.4%    0.0%  CODE/DATA             ROMB/PMCP
0x048800    1024    2.791   51.4%    7.2%  CODE/DATA             ROMB/PMCP
0x048C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x049000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x049400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x049800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x049C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x04A000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x04A400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x04A800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x04AC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x04B000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x04B400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x04B800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x04BC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x04C000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x04C400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x04C800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x04CC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x04D000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x04D400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x04D800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x04DC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x04E000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x04E400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x04E800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x04EC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x04F000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x04F400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x04F800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
